Method,Pruning_Ratio,Pruning_Percentage,Parameters,Average_Reward
Gradient-based Pruning,0.0,0.0%,930,215.48
Gradient-based Pruning,0.66,66.0%,314,159.16
Gradient-based Pruning,0.88,88.0%,100,49.1
Gradient-based Pruning,0.99,99.0%,7,9.56
Layer-wise Pruning,0.0,0.0%,930,216.66
Layer-wise Pruning,0.11,11.0%,761,112.94
Layer-wise Pruning,0.33,33.0%,597,70.32
Layer-wise Pruning,0.77,77.0%,324,19.2
Layer-wise Pruning,0.88,88.0%,343,60.4
Magnitude Pruning,0.33,33.0%,386,500.0
Magnitude Pruning,0.55,55.0%,162,11.92
Magnitude Pruning,0.66,66.0%,171,58.76
Magnitude Pruning,0.88,88.0%,26,9.38
Magnitude Pruning,0.99,99.0%,0,9.34
Structured Pruning,0.44,44.0%,321,500.0
Structured Pruning,0.99,99.0%,7,9.58
